"name","avg_salary","eFG","PER","tot_games","draft_round"
"Joakim Noah",9.52546327272727,"49.1","17.6",667,1
"Nerlens Noel",3.7034658,"52.3","16.9",300,1
"Steve Novak",1.66433823076923,"60.5","12.7",467,2
"Johnny O'Bryant",0.672307,"41.9","8.0",147,2
"Shaquille O'Neal",19.34982625,"58.2","26.4",1207,1
"Kyle O'Quinn",2.37174783333333,"52.4","17.9",443,2
"Lamar Odom",10.4523313,"49.5","16.5",961,1
"Emeka Okafor",8.21393909090909,"51.2","17.0",616,1
"Victor Oladipo",8.497488,"49.5","16.7",402,1
"Kelly Olynyk",3.9856926,"55.0","15.8",433,1
"Scott Padgett",0.9323084,"48.2","12.9",448,1
"Anthony Parker",3.466655,"52.3","12.2",494,1
"Chandler Parsons",11.1364291428571,"53.7","14.7",435,2
"Patrick Patterson",4.040912875,"51.9","12.6",622,1
"Ruben Patterson",4.9620194,"52.0","17.1",649,2
"Chris Paul",14.2298828461538,"51.8","25.3",950,1
"Morris Peterson",4.871534875,"49.5","13.3",711,1
"Eric Piatkowski",2.1295876,"52.6","14.0",789,1
"Paul Pierce",12.1149207333333,"50.0","19.7",1343,1
"Mason Plumlee",4.0881732,"57.1","17.8",471,1
"Scot Pollard",4.159268,"49.4","13.8",506,1
"Quincy Pondexter",2.460859875,"50.1","9.8",355,1
"Otto Porter",8.8157342,"55.8","15.6",399,1
"James Posey",5.79837777777778,"49.5","12.4",864,1
"Leon Powe",0.7376156,"51.5","16.8",239,2
"A.J. Price",0.6043688,"45.6","12.2",261,2
"Tayshaun Prince",6.21326323076923,"48.3","13.7",1017,1
"Joel Przybilla",3.9481267,"55.2","12.0",592,1
"Anthony Randolph",1.95339871428571,"46.0","16.5",252,1
"Zach Randolph",12.3544971333333,"47.8","19.3",1116,1
"Theo Ratliff",7.501832375,"49.6","14.3",810,1
"Michael Redd",10.9120562222222,"50.3","19.5",629,2
"J.J. Redick",6.59650066666667,"55.3","15.0",836,1
"Justin Reed",1.067305,"40.4","8.0",136,2
"Jason Richardson",8.36027441666667,"50.2","16.3",857,1
"Quentin Richardson",4.98014516666667,"47.6","12.9",783,1
"Luke Ridnour",3.7724565,"47.4","13.9",830,1
"Austin Rivers",5.49037333333333,"48.2","10.2",484,1
"Andre Roberson",2.9849702,"52.8","9.8",295,1
"Clifford Robinson",2.9175,"47.5","14.5",1380,2
"Nate Robinson",1.902137,"49.3","15.6",618,1
"Thomas Robinson",2.5223402,"47.0","14.0",313,1
"Rajon Rondo",6.96791415384615,"48.2","16.2",825,1
"Derrick Rose",9.93824541666667,"47.7","18.1",546,1
"Jalen Rose",11.9205,"47.7","15.3",923,1
"Malik Rose",6.44360783333333,"43.8","13.4",813,2
"Terrence Ross",5.34830616666667,"52.1","12.6",492,1
"Brandon Roy",9.20998122222222,"49.2","20.0",326,1
"Michael Ruffin",1.17634883333333,"40.7","8.5",414,2
"Brandon Rush",2.2758805,"51.8","9.9",481,1
"Kareem Rush",1.08683528571429,"46.6","9.2",346,1
"John Salmons",4.48753853846154,"48.3","12.1",895,1
"Larry Sanders",2.82704122222222,"48.0","15.4",238,1
"Brian Scalabrine",2.14238177777778,"45.0","7.7",520,2
"Mike Scott",2.12230966666667,"53.3","13.2",436,2
"Ramon Sessions",2.92934941666667,"45.3","15.9",691,2
"Iman Shumpert",5.22875628571429,"47.1","9.8",446,1
"Bobby Simmons",5.46812588888889,"49.0","12.9",466,2
"Kyle Singler",2.93983333333333,"49.3","9.5",356,2
"Brian Skinner",2.26259222222222,"49.4","12.0",608,1
"Craig Smith",1.56547566666667,"55.3","16.2",403,2
"Jason Smith",2.86090845454545,"48.0","12.9",616,1
"Joe Smith",4.6448545,"45.6","15.4",1030,1
"Tony Snell",3.3214152,"53.4","9.0",442,1
"Eric Snow",5.828125,"43.0","12.2",846,2
"Darius Songaila",3.167241375,"49.9","13.3",495,2
"Marreese Speights",2.5743588,"48.4","16.7",705,1
"Jerry Stackhouse",4.66849845454545,"44.6","16.5",970,1
"Lance Stephenson",3.0986672,"48.8","12.1",508,2
"Damon Stoudamire",5.70091971428571,"46.4","15.4",878,1
"Rodney Stuckey",4.8057071,"44.3","14.9",651,1
"Jared Sullinger",2.398884,"46.3","16.2",269,1
"Bob Sura",4.1333332,"46.0","14.3",657,1
"Stromile Swift",5.49758716666667,"47.3","16.1",547,1
"Wally Szczerbiak",10.8875,"52.6","16.0",651,1
"Maurice Taylor",6.7831836,"46.7","13.1",534,1
"Jeff Teague",6.51819077777778,"48.9","17.1",712,1
"Jason Terry",6.75749026666667,"51.7","16.2",1410,1
"Isaiah Thomas",4.16001342857143,"50.7","20.3",485,2
"Kenny Thomas",7.2,"47.1","13.9",632,1
"Kurt Thomas",5.39544225,"48.7","13.9",1110,1
"Tim Thomas",7.921206875,"49.7","14.0",824,1
"Tyrus Thomas",5.181903,"43.9","14.8",402,1
"Jason Thompson",3.15370463636364,"49.7","13.5",588,1
"Klay Thompson",8.54229214285714,"55.1","16.4",615,1
"Tristan Thompson",8.98920214285714,"51.9","15.4",562,1
"Marcus Thornton",3.90251533333333,"49.8","15.5",483,2
"Jamaal Tinsley",4.26735844444444,"43.7","13.6",547,1
"P.J. Tucker",3.73560585714286,"50.1","10.9",582,2
"Ronny Turiaf",2.50901733333333,"53.3","13.8",473,2
"Evan Turner",7.718951,"45.6","12.0",686,1
"Ekpe Udoh",3.089252,"45.3","12.0",384,1
"Greivis Vasquez",3.26268771428571,"48.0","13.7",401,1
"Jacque Vaughn",1.06570416666667,"44.5","10.1",776,1
"Charlie Villanueva",4.68889145454545,"49.4","16.0",656,1
"Jake Voskuhl",1.82519216666667,"48.8","10.8",450,2
"Nikola Vucevic",6.17271142857143,"51.4","20.3",536,1
"Dwyane Wade",12.2839405,"49.5","23.5",1054,1
"Von Wafer",0.5871586,"47.5","11.8",200,2
"Dion Waiters",5.11987833333333,"46.8","12.0",409,1
"Antoine Walker",9.96598916666667,"46.1","16.0",893,1
"Kemba Walker",6.67567585714286,"48.2","19.3",605,1
"John Wall",11.208733125,"46.2","19.4",573,1
"Gerald Wallace",7.78230561538462,"49.6","16.3",832,1
"Rasheed Wallace",9.91427788888889,"50.7","17.0",1109,1
"Luke Walton",3.390334,"46.6","11.7",564,2
"Hakim Warrick",2.65349275,"49.3","15.5",526,1
"Earl Watson",3.43527183333333,"46.0","12.1",878,2
"Chris Webber",12.922421,"48.7","20.9",831,1
"Bonzi Wells",5.41984,"47.9","16.1",591,1
"David West",6.1460306,"49.8","18.6",1034,1
"Delonte West",1.80361511111111,"50.1","13.9",432,1
"Russell Westbrook",13.22461,"46.5","23.7",821,1
"D.J. White",1.075947,"50.7","14.5",138,1
"Hassan Whiteside",8.18935283333333,"57.5","24.1",343,2
"Chris Wilcox",3.694206,"54.1","15.5",628,1
"Alvin Williams",4.45899866666667,"44.8","13.7",460,2
"Deron Williams",9.1608243125,"49.8","18.2",845,1
"Derrick Williams",3.860262,"47.5","13.4",428,1
"Elliot Williams",0.516386,"48.0","9.5",109,1
"Jason Williams",4.695375,"47.9","14.2",788,1
"Jerome Williams",6.6897726,"50.2","15.9",587,1
"Marvin Williams",7.31379176923077,"50.0","13.7",1014,1
"Mo Williams",4.82942364285714,"49.3","15.0",818,2
"Shawne Williams",1.81754275,"48.9","10.5",314,1
"Shelden Williams",2.0428115,"46.3","12.5",361,1
"Metta World Peace",5.51282815384615,"46.5","14.8",991,1
"Antoine Wright",1.602685,"46.3","7.9",297,1
"Brandan Wright",3.7760133,"60.7","20.3",428,1
"Lorenzen Wright",4.8687125,"45.9","13.3",778,1
"Tony Wroten",0.975333333333333,"44.3","12.6",145,1
"Nick Young",3.51743718181818,"49.3","12.9",720,1
"Thaddeus Young",7.52124927272727,"52.1","16.4",901,1
"Cody Zeller",5.9988766,"51.3","15.5",361,1
"Tyler Zeller",2.87113883333333,"51.1","14.9",412,1
